,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
136,Overall work culture is great and employees are valued a lot. It doesn't bug you much with stupid issues and gives you enough space and peace of your mind. Nothing to complain about. Its gym facility in new bangalore srr3 building is great. Sometimes i feel that is why i extended my stay at Intel otherwise i was heavily irritated with the type of profile I was in.,"Its vision is very streamlined and too much focused on hardware only. Although it tries to project that it values software too but it is only in words not much when it comes to ""putting the money where the mouth is."" If you are looking for growth in Data science / machine learning domain then it is not the company for you as it only knows/cares about how to sell its hardware and everything else is secondary. 
It has no vision in machine learning and you are not going to see products like  Alexa or Google Assistant coming out of intel any soon.
So run as far as you can from Intel if you are interested in data domain. In this domain it is focused more on providing the hardware to execute the algorithm efficiently, not much effort on the actual ML/AI which is a game changer of next century. In my honest opinion it is going to miss this bus of ML just like intel missed out on mobiles.  
Its stance on machine learning is like the following :
""Imagine a company that makes fuel for rockets and then claims to be working on rocket technologies, that is how Intel is to machine learning"" 
You can look at its acquisition, when google has acquired firms like deep mind and deep brain, intel acquires nervana which makes hardware for AI. Its acting like a wannabe and its average knowledge on AI/ML is pretty low compared to google/amazon/msft or even flipkart i suppose (more that 90% sure about this). 
Its biggest problem is business model that restricts it from innovating freely in domains other than processors because it runs into competition with its own customers like google/amazon/hp etc who use its processors in their products.
So its pretty much a dead end when it comes to pure machine learning work, so if you are not excessively excited about hardware and going through undocumented code irritates you to the core you will leave intel soon.
Over all its work culture is great and has flexible timings, you can come and leave at any time as long you get the work done.",1,0,0,1,0,0,0,2
137,Working  culture,Good,0,0,0,1,0,0,0,1
138,"I like Compitetiv job & company soport him. No payment issues,  All type work involved in my job designation like safety, fire, EHS, audit.",Any problems to him company siner has not investigation proper who is wrong and right.,0,0,0,0,0,0,1,1
139,"In railway job-training & learning facilities are there to realise the latest technological development and naturally trained co-worker can improve work environment, quality of product, innovation etc.","The work pressure is often very high
 for a responsible person and no limit of time.Sometimes it becomes painful because of injuctice of getting appreciation/appraisal of ordinary one than a competent one.",0,1,1,0,0,0,0,2
140,PVR is best place to work and make our future bright. PVR always take care of their employees and keep familiar environment.,"Nothing any dislike of PVR ....
PVR is best for 👍🙏🏻",0,0,0,0,0,0,0,0
141,career growth,work life balance,0,1,0,0,0,1,0,2
142,Worst company i ever seen .no response to their employees fake promises.,No.,0,0,0,1,0,0,0,1
143,"McNore  very Good company all work like an employee famliy in it,there  is no small big office in it,it is all the same everyone works together and this company  has struggled  a lot and reached a very high level of this company . The Name are four and there is a lot to be named.",I like all work in this company  just  think about modern trade and increase the Modern Trade and run your company name all around.,0,0,0,1,0,0,0,1
144,I like Nothing it’s pathetic working with Dtdc. There is no growth no learning experience no appraisals.,Working environment there is no career growth after working with dtdc. I din gt the job till now just because I worked with dtdc.i am regretting why I joined dtdc.,1,0,1,0,0,1,0,3
145,Few teams are doing good. Salary is fine but need to be a independent learner other wise you will loose.,Don't work as a consultant.  No value for GB employees in Intel. The discrimination is too high.,0,0,1,0,0,0,0,1
146,"The environment is very healthy
Salary is medium, other benifits are good","When cummins employees are deputed into dealership, they had to face lot of challenge s....at the same time whoever worked into cummins office they will be in good and healthy environment..healthy facilities...this shouldnt happen",0,0,1,0,0,0,0,1
147,"Good team mates, good job security, work environment is also good","Career growth, work life balance",0,1,0,0,1,1,1,4
148,Work culture is great. People are very helpful and encouraging. Company takes the responsibility of one way journey and food which leads to a great savings.,Awful office politics are there due to that the deserving candidate doesn’t get recognition. Also the department of customer care has been removed and it is out sourced. People lost their jobs.,0,0,0,1,0,0,0,1
149,Everything,Nothing,0,0,0,0,0,0,1,1
150,Carr,Cartier growth and opportunity,0,0,0,0,0,1,0,1
151,"all the teammates are fantastic,strong bonding with my colleagues, training and job security could not get any better,salary is all good,  but work-life balance?no","work pressure is very high,i have to take care of 3 jobs inside jio, we have to work like sometimes 10-12 hours straight, and the pressure coming from state hqrs and National hqrs is very high,it is very hard to multitask 4,5 jobs in a day",0,1,1,0,0,0,0,2
152,"Good job for freshers,working environment is good, QACA have many MNC company project","starting sallery is less,teanable should be needed customer handling is tough for Engineer.",0,0,1,0,0,0,1,2
153,Job security and timely payment of salary.,Too much reservation and uncultured colleagues.,0,0,1,1,1,0,0,3
154,Good company and good work,Good working,0,0,0,1,0,0,0,1
155,"1) Good company to work with if you find good supervisors
2) Several opportunities if you're graduate and holding good experience 
3) Working environment is depend on process you're working for. 
4) No salary issues","1) No job security. People get treated unfairly.
2) Corporate politics
3) HR is more supportive towards staff rather employees.",0,0,1,0,1,1,0,3
